"bóng bàn","𣈖盘","table tennis",0,,
"bóng cá","𣈖𩵜","swim bladder",0,,
"bóng gió","𣈖䬔","allusive; hint",0,,
"bóng trăng","𣈖𦝄","moon",0,,
"bóng đèn","𣈖畑","light bulb",0,,
"bông","葻","flower",4,13,1254,"847B","standard"
"bông hoa","葻花","flowers",0,,
"bông lan","葻蘭","orchid",0,,
"bông sen","葻蓮","lotus flower",0,,
"bút","筆","brush; pen",4,12,1006,"7B46","standard"
"bước","𨀈","step, pace; to step, to pace",3,12,403,"28008","standard"
"bước đầu","𨀈頭","first step; initially",0,,4107
"bạc","鉑","silver",4,13,972,"9251","standard"
"bạch kim","白金","platinum",0,,
"bạn","伴","friend; fellow; comrade",2,7,95,"4F34","standard"
"bạn cũ","伴𫇰","old friend",0,,
"bạn vàng","伴鐄","very dear friend",0,,
"bản","版","copy, edition; printing blocks",2,8,252,"7248","standard"
"bản","本","[root, origin, source; basis]",2,5,252,"672C","standard"
"bản doanh","本营","headquarters, head office",0,,
"bản địa","本地","native, indigenous; vernacular",0,,3877
"bản đồ","版圖","(geographical) map",4,,2336
"bảo","𠸒","to say",2,12,379,"20E12","standard"
"bảo","保","[to protect, to safeguard]",2,9,379,"4FDD","standard"
"bảo hiểm","保險","insurance, to insure",4,,1925
"bảo lãnh","保領","to act as guarantor for, to stand surety, to bail for",0,,4667
"bảo toàn","保全","to keep intact; conservation; integrity",0,,
"bảo trợ","保助","to sponsor",0,,3202
"bảo vệ","保衛","to protect, to preserve; bodyguard, guard",3,,556
"bảy","𬙞","seven",3,12,689,"2C65E","standard"
"bất","不","[non-, un-, not]",3,4,795,"4E0D","standard"
"bất hạnh","不幸","unlucky, unfortunate",0,,3028
"bất nhân","不仁","inhumane, unfeeling",0,,
"bất thường","不常","unusual, extraordinary, special",0,,3807
"bậy","呸","wrong",0,8,,"5478","standard"
"bắc","北","north; northern",2,5,267,"5317","standard"
"bắc kỳ","北圻","Tonkin",0,,
"bắc mỹ","北美","North America",0,,
"bắt","扒","to catch",3,5,409,"6252","standard"
"bắt gặp","扒﨤","to run into someone, to come across so.",0,,2969
"bắt lửa","扒焒","to catch fire; to light",0,,
"bắt sống","扒𤯩","capture alive",0,,
"bắt đầu","扒頭","to begin, to start",2,,356
"bằng","凭","with, by means of, using; diploma, certificate; evidence, proof",2,8,98,"51ED","standard"
"bằng","朋","[friend, comrade, pal]",2,8,98,"670B","standard"
"bằng chứng","凭證","evidence, proof",4,,2366
"bệnh","病","ill, sick; disease",3,10,472,"75C5","standard"
"bệnh viện","病院","hospital",3,,929
"bị","被","to befall; (passive preposition)",1,10,47,"88AB","standard"
"bị","備","[to prepare]",1,12,47,"5099","standard"
"bị động","被動","passive",0,,
"bỏ","𠬃","to leave, to abandon, to neglect; to let, to put",2,12,354,"20B03","standard"
"bỏ chạy","𠬃𧼋","to run away",0,,4505
"bỏ không","𠬃空","idle, unused",0,,
"bỏ mặc","𠬃默","to abandon",0,,
"bỏ qua","𠬃戈","to leave well alone, to let pass unnoticed",0,,2931
"bỏ quên","𠬃𠅳","to forget, to leave (somewhere)",0,,4847
"bỏ đi","𠬃𠫾","to leave",4,,2555
"bố","布","linen, canvas, heavy duty fabric",3,5,636,"5E03","standard"
"bố","佈","[publicize, announce]",3,7,636,"4F48","standard"
"bố","𢂞","father, dad",3,9,636,"2209E","standard"
"bố mẹ","𢂞媄","mom and dad, parents",4,,1830
"bố trận","佈陣","to dispose troops in battle formation",0,,
"bốn","𦊚","four",3,11,607,"2629A","standard"
"bốn biển","𦊚𣷷","the world (lit. ""four oceans""), cf. 四海",0,,
"bốn phương","𦊚方","four directions (of the compass)",0,,
"bộ","步","[to step, to walk]",2,7,163,"6B65","standard"
"bộ","部","set; part, section, division",2,11,163,"90E8","standard"
"bộ hành","步行","pedestrian",0,,
"bộ hạ","部下","subordinate",0,,
"bộ thủ","部首","characer radical",0,,
"bộ trưởng","部長","minister",4,,1530
"bộ đội","步隊","(communist) soldier",0,,3073
"bởi","𤳄","because",2,15,227,"24CC4","standard"
"bởi vì","𤳄爲","because",0,,
"bụng","䏾","abdomen",3,12,1621,"43FE","standard"
"bức","幅","painting, photograph, piece",2,12,229,"5E45","standard"
"bức tranh","幅幀","picture, painting",3,,423
"cao","高","high; tall",2,10,162,"9AD8","standard"
"cao cấp","高級","high-class, high-ranking, high-grade",4,,2644
"cao nguyên","高原","plateau",0,,4025
"cao thượng","高上","high-minded, noble",0,,
"cao xa","高賖","unattainable",0,,
"cao điểm","高點","peak, height, highest level",0,,
"cao đẹp","高𢢲","lofty and beautiful",0,,
"cha","吒","father",3,6,434,"5412","standard"
"cha mẹ","吒媄","parents",3,,862
"chi","支","to spend money, to pay",3,4,671,"652F","standard"
"chia","𢺺","to share; to divide, to split",3,8,924,"22EBA","standard"
"chia sẻ","𢺺𢩿","to share",3,,575
"chia tay","𢺺𢬣","to say good bye; to go shares",4,,2196
"chim","𪀄","bird",3,16,899,"2A004","standard"
"chiếc","隻","unit, entity, object; (classifier for vehicles or certain objects)",2,10,164,"96BB","standard"
"chiến","戰","war",3,16,777,"6230","standard"
"chiến thuyền","戰船","warship, war vessel",0,,
"chiến tranh","戰爭","war, warfare",3,,646
"chiến trận","戰陣","battle, engagement",0,,
"chiến đấu","戰鬥","to fight, to combat",4,,1646
"chiều","朝","direction; dimension, side",3,12,401,"671D","standard"
"chiều cao","朝高","height",0,,
"chiều dài","朝𨱽","length",0,,
"cho","朱","to give; so that",1,6,13,"6731","standard"
"cho biết","朱别","to tell; to inform, to notify",2,,194
"cho nên","朱𢧚","therefore, hence",4,,1681
"chung","終","common, general, public, shared",3,11,404,"7D42","standard"
"chung kết","終結","final, finals",0,,3370
"chuyện","𡀯","matter; talk, story",2,16,148,"2102F","standard"
"chuyện tình","𡀯情","romance",4,,1882
"chuỷ","ㇶ","(iteration mark)",0,2,,"31F6","standard"
"chàng","払","young gentleman; large bladed chisel",3,5,530,"6255","standard"
"chàng trai","払𤳇","fellow, lad",4,,1828
"chào","嘲","to greet",4,15,1311,"5632","standard"
"chào mừng","嘲𢜠","to welcome someone; in honor of",0,,2982
"cháu","𡥙","grandchild, grandchildren, grandson, granddaughter",2,8,329,"21959","standard"
"chân","蹎","foot, leg",2,17,371,"8E4E","standard"
"chân mây","蹎𩄲","horizon, line of horizon",0,,
"chân tay","蹎𢬣","limbs",0,,
"châu","珠","[gem, pearl, precious stone]",2,10,326,"73E0","standard"
"châu","洲","continent",2,9,326,"6D32","standard"
"châu á","洲亜","Asia",0,,
"châu âu","洲歐","Europe",0,,
"châu đại dương","洲大洋","Oceania",0,,
"chí","志","will, ambition",3,7,649,"5FD7","standard"
"chín","𠃩","nine",4,7,1257,"200E9","standard"
"chính","正","main",2,5,109,"6B63","standard"
"chính","政","government; political affairs",2,8,109,"653F","standard"
"chính phủ","政府","gonvernment",3,,602
"chính thể","正体","conventional (character), traditional (character)",0,,
"chính thức","正式","official",4,,976
"chính trị","政治","politics, political",3,,808
"chính trị gia","政治家","politician",0,,
"chính trị phạm","政治犯","political prisoner",0,,
"chính đảng","政党","political party",0,,
"chó","㹥","dog",3,8,866,"3E65","standard"
"chó chết","㹥𣩂","damn, damned (colloquial)",0,,
"chó mèo","㹥猫","cats and dogs",0,,
"chùa","廚","buddhist temple",3,15,435,"5EDA","standard"
"chú","注","uncle; [to focus, to concentrate]",2,8,318,"6CE8","standard"
"chú thích","注釋","annotation, to annotate (a text)",0,,3966
"chú ý","注意","to pay attention",0,,
"chúa","主","sovereign, lord, god",3,5,1017,"4E3B","standard"
"chúc","祝","to wish so. sth.",4,10,1965,"795D","standard"
"chúc mừng","祝𢜠","to congratulate",0,,3621
"chúc mừng năm mới","祝𢜠𢆥㵋","happy new year!",0,,
"chúc thư","祝書","testament, will",0,,
"chúng","眾","masses; multitude",2,11,323,"773E","standard"
"chúng mày","眾𠋥","you (plural, informal)",0,,
"chúng ta","眾些","we, us (including person addressed)",2,,220
"chúng tôi","眾碎","we, us (not including person addressed)",2,,172
"chơi","制","to play, see 𨔈",3,8,427,"5236","standard"
"chơi","𨔈","to play",3,12,427,"28508","standard"
"chơi chữ","𨔈𡦂","to play on words; wordplay",0,,
"chơi đá bóng","𨔈跢𣈖","play football (soccer)",0,,
"chưa","渚","not yet; already (used in questions)",2,13,114,"235D3","standard"
"chưa từng","渚曾","never",0,,
"chưa từng thấy","渚曾𧡊","unprecedented",0,,
"chương","章","chapter, section",4,11,1389,"7AE0","standard"
"chương trình","章程","programme, schedule; computer program, software",3,,422
"chạy","𧼋","to run",2,14,370,"27F0B","standard"
"chạy bộ","𧼋步","to run, to walk, to do jogging",0,,
"chạy theo","𧼋遶","to run after",0,,3427
"chấp","执","[to execute; to grasp, to seize]",4,11,2683,"57F7","standard"
"chấp chính","执政","to seize power, to assume power",0,,
"chấp hành","执行","to implement, to execute, to carry out",0,,3050
"chắc","𢟘","sure; solid, firm, steady",3,14,647,"227D8","standard"
"chắc chân","𢟘蹎","to be in stable position, to be firm",0,,
"chẳng","庄","not at all",2,6,292,"5E84","standard"
"chẳng ai","庄埃","nobody",4,,2680
"chẳng bao giờ","庄包𣇞","never",0,,
"chẳng cần","庄勤","not to need",0,,4612
"chẳng gì","庄之","nothing at all",0,,
"chẳng nữa","庄𠯆","otherwise",0,,
"chẳng sao","庄牢","it doesn't matter, never mind",0,,
"chẳng thà","庄他","rather, better",0,,
"chẳng vừa","庄𣃣","to be not much better either, no less terrible",0,,
"chế","制","to prepare (medicine); to pour (water); [to regulate; system]",3,8,1432,"5236","standard"
